Block,direction,latitude,longitude,
39,NE,45.98413901,-112.53984,
39,NW,45.98413901,-112.539976,
40,SE,45.98445399,-112.53984,
40,SW,45.98445399,-112.539976,
40,NE,45.98457401,-112.53984,
40,NW,45.98457401,-112.539976,
41,SE,45.98459399,-112.53984,
41,SW,45.98459399,-112.539976,
41,NE,45.98471401,-112.53984,
41,NW,45.98471401,-112.539976,
42,SE,45.98472999,-112.53984,
42,SW,45.98472999,-112.539976,
42,NE,45.98485001,-112.53984,
42,NW,45.98485001,-112.539976,
43,SE,45.98472999,-112.539682,
43,SW,45.98472999,-112.539818,
43,NE,45.98485001,-112.539682,
43,NW,45.98485001,-112.539818,
44,SE,45.98459399,-112.539682,
44,SW,45.98459399,-112.539818,
44,NE,45.98471401,-112.539682,
44,NW,45.98471401,-112.539818,
45,SE,45.98445399,-112.539682,
45,SW,45.98445399,-112.539818,
45,NE,45.98457401,-112.539682,
45,NW,45.98457401,-112.539818,
46,SE,45.98401899,-112.539682,
46,SW,45.98401899,-112.539818,
46,NE,45.98413901,-112.539682,
46,NW,45.98413901,-112.539818,
47,SE,45.98387699,-112.539682,
47,SW,45.98387699,-112.539818,
47,NE,45.98399701,-112.539682,
47,NW,45.98399701,-112.539818,
48,SE,45.98373999,-112.539682,
48,SW,45.98373999,-112.539818,
48,NE,45.98386001,-112.539682,
48,NW,45.98386001,-112.539818,
49,SE,45.98373999,-112.539524,
49,SW,45.98373999,-112.53966,
49,NE,45.98386001,-112.539524,
49,NW,45.98386001,-112.53966,
50,SE,45.98387699,-112.539524,
50,SW,45.98387699,-112.53966,
50,NE,45.98399701,-112.539524,
50,NW,45.98399701,-112.53966,
51,SE,45.98401899,-112.539524,
51,SW,45.98401899,-112.53966,
51,NE,45.98413901,-112.539524,
51,NW,45.98413901,-112.53966,
52,SE,45.98415199,-112.539524,
52,SW,45.98415199,-112.53966,
52,NE,45.98427201,-112.539524,
52,NW,45.98427201,-112.53966,
53,SE,45.98431899,-112.539524,
53,SW,45.98431899,-112.53966,
53,NE,45.98443901,-112.539524,
53,NW,45.98443901,-112.53966,
54,SE,45.98445399,-112.539524,
54,SW,45.98445399,-112.53966,
54,NE,45.98457401,-112.539524,
54,NW,45.98457401,-112.53966,
55,SE,45.98459399,-112.539524,
55,SW,45.98459399,-112.53966,
55,NE,45.98471401,-112.539524,
55,NW,45.98471401,-112.53966,
56,SE,45.98472999,-112.539524,
56,SW,45.98472999,-112.53966,
56,NE,45.98485001,-112.539524,
56,NW,45.98485001,-112.53966,
57,SE,45.98472999,-112.539368,
57,SW,45.98472999,-112.539504,
57,NE,45.98485001,-112.539368,
57,NW,45.98485001,-112.539504,
58,SE,45.98459399,-112.539368,
58,SW,45.98459399,-112.539504,
58,NE,45.98471401,-112.539368,
58,NW,45.98471401,-112.539504,
59,SE,45.98445399,-112.539368,
59,SW,45.98445399,-112.539504,
59,NE,45.98457401,-112.539368,
59,NW,45.98457401,-112.539504,
60,SE,45.98431899,-112.539368,
60,SW,45.98431899,-112.539504,
60,NE,45.98443901,-112.539368,
60,NW,45.98443901,-112.539504,
61,SE,45.98415199,-112.539368,
61,SW,45.98415199,-112.539504,
61,NE,45.98427201,-112.539368,
61,NW,45.98427201,-112.539504,
62,SE,45.98401899,-112.539368,
62,SW,45.98401899,-112.539504,
62,NE,45.98413901,-112.539368,
62,NW,45.98413901,-112.539504,
63,SE,45.98387699,-112.539368,
63,SW,45.98387699,-112.539504,
63,NE,45.98399701,-112.539368,
63,NW,45.98399701,-112.539504,
64,SE,45.98373999,-112.539368,
64,SW,45.98373999,-112.539504,
64,NE,45.98386001,-112.539368,
64,NW,45.98386001,-112.539504,
