Block,Cardinal directions,latitude,longitude,,Correct,"If Not Correct, notes on why"
38,NE,45.98399701,-112.53984,,X,
38,NW,45.98399701,-112.539976,,X,
39,SE,45.98401899,-112.53984,,X,
39,SW,45.98401899,-112.539976,,X,
39,NE,45.98413901,-112.53984,,X,
39,NW,45.98413901,-112.539976,,X,
40,SE,45.98445399,-112.53984,,X,
40,SW,45.98445399,-112.539976,,X,
40,NE,45.98457401,-112.53984,,X,
40,NW,45.98457401,-112.539976,,X,
41,SE,45.98459399,-112.53984,,X,
41,SW,45.98459399,-112.539976,,X,
41,NE,45.98471401,-112.53984,,X,
41,NW,45.98471401,-112.539976,,X,
42,SE,45.98472999,-112.53984,,X,
42,SW,45.98472999,-112.539976,,X,
42,NE,45.98485001,-112.53984,,X,
42,NW,45.98485001,-112.539976,,X,
43,SE,45.98472999,-112.539682,,X,
43,SW,45.98472999,-112.539818,,X,
43,NE,45.98485001,-112.539682,,X,
43,NW,45.98485001,-112.539818,,X,
44,SE,45.98459399,-112.539682,,X,
44,SW,45.98459399,-112.539818,,X,
44,NE,45.98471401,-112.539682,,X,
44,NW,45.98471401,-112.539818,,X,
45,SE,45.98445399,-112.539682,,X,
45,SW,45.98445399,-112.539818,,X,
45,NE,45.98457401,-112.539682,,X,
45,NW,45.98457401,-112.539818,,X,
46,SE,45.98401899,-112.539682,,X,
46,SW,45.98401899,-112.539818,,X,
46,NE,45.98413901,-112.539682,,X,
46,NW,45.98413901,-112.539818,,X,
47,SE,45.98387699,-112.539682,,X,
47,SW,45.98387699,-112.539818,,X,
47,NE,45.98399701,-112.539682,,X,
47,NW,45.98399701,-112.539818,,X,
48,SE,45.98373999,-112.539682,,X,
48,SW,45.98373999,-112.539818,,X,
48,NE,45.98386001,-112.539682,,X,
48,NW,45.98386001,-112.539818,,X,
49,SE,45.98373999,-112.539524,,X,
49,SW,45.98373999,-112.53966,,X,
49,NE,45.98386001,-112.539524,,X,
49,NW,45.98386001,-112.53966,,X,
50,SE,45.98387699,-112.539524,,X,
50,SW,45.98387699,-112.53966,,X,
50,NE,45.98399701,-112.539524,,X,
50,NW,45.98399701,-112.53966,,X,
51,SE,45.98401899,-112.539524,,X,
51,SW,45.98401899,-112.53966,,X,
51,NE,45.98413901,-112.539524,,X,
51,NW,45.98413901,-112.53966,,X,
52,SE,45.98415199,-112.539524,,X,
52,SW,45.98415199,-112.53966,,X,
52,NE,45.98427201,-112.539524,,X,
52,NW,45.98427201,-112.53966,,X,
53,SE,45.98431899,-112.539524,,X,
53,SW,45.98431899,-112.53966,,X,
53,NE,45.98443901,-112.539524,,X,
53,NW,45.98443901,-112.53966,,X,
54,SE,45.98445399,-112.539524,,X,
54,SW,45.98445399,-112.53966,,X,
54,NE,45.98457401,-112.539524,,X,
54,NW,45.98457401,-112.53966,,X,
55,SE,45.98459399,-112.539524,,X,
55,SW,45.98459399,-112.53966,,X,
55,NE,45.98471401,-112.539524,,X,
55,NW,45.98471401,-112.53966,,X,
56,SE,45.98472999,-112.539524,,X,
56,SW,45.98472999,-112.53966,,X,
56,NE,45.98485001,-112.539524,,X,
56,NW,45.98485001,-112.53966,,X,
57,SE,45.98472999,-112.539368,,X,
57,SW,45.98472999,-112.539504,,X,
57,NE,45.98485001,-112.539368,,X,
57,NW,45.98485001,-112.539504,,X,
58,SE,45.98459399,-112.539368,,X,
58,SW,45.98459399,-112.539504,,X,
58,NE,45.98471401,-112.539368,,X,
58,NW,45.98471401,-112.539504,,X,
59,SE,45.98445399,-112.539368,,X,
59,SW,45.98445399,-112.539504,,X,
59,NE,45.98457401,-112.539368,,X,
59,NW,45.98457401,-112.539504,,X,
60,SE,45.98431899,-112.539368,,X,
60,SW,45.98431899,-112.539504,,X,
60,NE,45.98443901,-112.539368,,X,
60,NW,45.98443901,-112.539504,,X,
61,SE,45.98415199,-112.539368,,X,
61,SW,45.98415199,-112.539504,,X,
61,NE,45.98427201,-112.539368,,X,
61,NW,45.98427201,-112.539504,,X,
62,SE,45.98401899,-112.539368,,X,
62,SW,45.98401899,-112.539504,,X,
62,NE,45.98413901,-112.539368,,X,
62,NW,45.98413901,-112.539504,,X,
63,SE,45.98387699,-112.539368,,X,
63,SW,45.98387699,-112.539504,,X,
63,NE,45.98399701,-112.539368,,X,
63,NW,45.98399701,-112.539504,,X,
64,SE,45.98373999,-112.539368,,X,
64,SW,45.98373999,-112.539504,,X,
64,NE,45.98386001,-112.539368,,X,
64,NW,45.98386001,-112.539504,,X,
65,SE,45.98373999,-112.539208,,X,
65,SW,45.98373999,-112.539344,,X,
