block,SE,SE,SW,SW,NE,NE,NW,NW
64,45.98373999,-112.539368,45.98373999,-112.539504,45.98386001,-112.539368,45.98386001,-112.539504
65,45.98373999,-112.539208,45.98373999,-112.539344,45.98386001,-112.539208,45.98386001,-112.539344
66,45.98387699,-112.539208,45.98387699,-112.539344,45.98399701,-112.539208,45.98399701,-112.539344
67,45.98401899,-112.539208,45.98401899,-112.539344,45.98413901,-112.539208,45.98413901,-112.539344
68,45.98415199,-112.539208,45.98415199,-112.539344,45.98427201,-112.539208,45.98427201,-112.539344
69,45.984317,-112.539224,45.98431899,-112.539344,45.98443901,-112.539208,45.98443901,-112.539344
70,45.98445399,-112.539208,45.98445399,-112.539344,45.98457401,-112.539208,45.98457401,-112.539344
71,45.98459399,-112.539208,45.98459399,-112.539344,45.98471401,-112.539208,45.98471401,-112.539344
72,45.98472999,-112.539208,45.98472999,-112.539344,45.98485001,-112.539208,45.98485001,-112.539344
73,45.98360399,-112.540655,45.98360399,-112.540791,45.98372401,-112.540655,45.98372401,-112.540791
74,45.98360399,-112.540506,45.98360399,-112.540642,45.98372401,-112.540506,45.98372401,-112.540642
75,45.98360399,-112.540355,45.98360399,-112.540491,45.98372401,-112.540355,45.98372401,-112.540491
76,45.98360399,-112.540189,45.98360399,-112.540325,45.98372401,-112.540189,45.98372401,-112.540325
77,45.98360399,-112.540034,45.98360399,-112.54017,45.98372401,-112.540034,45.98372401,-112.54017
78,45.98360399,-112.53984,45.98360399,-112.539976,45.98372401,-112.53984,45.98372401,-112.539976
79,45.98360399,-112.539682,45.98360399,-112.539818,45.98372401,-112.539682,45.98372401,-112.539818
80,45.98360399,-112.539524,45.98360399,-112.53966,45.98372401,-112.539524,45.98372401,-112.53966
81,45.98360399,-112.539368,45.98360399,-112.539504,45.98372401,-112.539368,45.98372401,-112.539504
82,45.98360399,-112.539208,45.98360399,-112.539344,45.98372401,-112.539208,45.98372401,-112.539344
83,45.98346599,-112.540655,45.98346599,-112.540791,45.98358601,-112.540655,45.98358601,-112.540791
84,45.98346599,-112.540506,45.98346599,-112.540642,45.98358601,-112.540506,45.98358601,-112.540642
85,45.98346599,-112.540355,45.98346599,-112.540491,45.98358601,-112.540355,45.98358601,-112.540491
86,45.98346599,-112.540189,45.98346599,-112.540325,45.98358601,-112.540189,45.98358601,-112.540325
87,45.98346599,-112.540034,45.98346599,-112.54017,45.98358601,-112.540034,45.98358601,-112.54017
88,45.98346599,-112.53984,45.98346599,-112.539976,45.98358601,-112.53984,45.98358601,-112.539976
89,45.98346599,-112.539682,45.98346599,-112.539818,45.98358601,-112.539682,45.98358601,-112.539818
90,45.98346599,-112.539524,45.98346599,-112.53966,45.98358601,-112.539524,45.98358601,-112.53966
91,45.98346599,-112.539368,45.98346599,-112.539504,45.98358601,-112.539368,45.98358601,-112.539504
92,45.98346599,-112.539208,45.98346599,-112.539344,45.98358601,-112.539208,45.98358601,-112.539344
93,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0
101,45.98486399,-112.540655,45.98486399,-112.540791,45.98498401,-112.540655,45.98498401,-112.540791
102,45.98486399,-112.540506,45.98486399,-112.540642,45.98498401,-112.540506,45.98498401,-112.540642
103,45.98486399,-112.540355,45.98486399,-112.540491,45.98498401,-112.540355,45.98498401,-112.540491
104,45.98486399,-112.540189,45.98486399,-112.540325,45.98498401,-112.540189,45.98498401,-112.540325
105,45.98486399,-112.540034,45.98486399,-112.54017,45.98498401,-112.540034,45.98498401,-112.54017
106,45.98486399,-112.53984,45.98486399,-112.539976,45.98498401,-112.53984,45.98498401,-112.539976
107,45.98486399,-112.539682,45.98486399,-112.539818,45.98498401,-112.539682,45.98498401,-112.539818
108,45.98486399,-112.539524,45.98486399,-112.53966,45.98498401,-112.539524,45.98498401,-112.53966
109,45.98486399,-112.539368,45.98486399,-112.539504,45.98498401,-112.539368,45.98498401,-112.539504
110,45.98486399,-112.539208,45.98486399,-112.539344,45.98498401,-112.539208,45.98498401,-112.539344
111,45.98501099,-112.540655,45.98501099,-112.540791,45.98513101,-112.540655,45.98513101,-112.540791
112,45.98501099,-112.540506,45.98501099,-112.540642,45.98513101,-112.540506,45.98513101,-112.540642
113,45.98501099,-112.540355,45.98501099,-112.540491,45.98513101,-112.540355,45.98513101,-112.540491
114,45.98501099,-112.540189,45.98501099,-112.540325,45.98513101,-112.540189,45.98513101,-112.540325
115,45.98501099,-112.540034,45.98501099,-112.54017,45.98513101,-112.540034,45.98513101,-112.54017
116,45.98501099,-112.53984,45.98501099,-112.539976,45.98513101,-112.53984,45.98513101,-112.539976
117,45.98501099,-112.539682,45.98501099,-112.539818,45.98513101,-112.539682,45.98513101,-112.539818
118,45.98501099,-112.539524,45.98501099,-112.53966,45.98513101,-112.539524,45.98513101,-112.53966
119,45.98501099,-112.539368,45.98501099,-112.539504,45.98513101,-112.539368,45.98513101,-112.539504
120,45.98501099,-112.539208,45.98501099,-112.539344,45.98513101,-112.539208,45.98513101,-112.539344
121,45.98514799,-112.540655,45.98514799,-112.540791,45.98526801,-112.540655,45.98526801,-112.540791
122,45.98514799,-112.540506,45.98514799,-112.540642,45.98526801,-112.540506,45.98526801,-112.540642
123,45.98514799,-112.540355,45.98514799,-112.540491,45.98526801,-112.540355,45.98526801,-112.540491
124,45.98514799,-112.540189,45.98514799,-112.540325,45.98526801,-112.540189,45.98526801,-112.540325
125,45.98514799,-112.540034,45.98514799,-112.54017,45.98526801,-112.540034,45.98526801,-112.54017
126,45.98514799,-112.53984,45.98514799,-112.539976,45.98526801,-112.53984,45.98526801,-112.539976
127,45.98514799,-112.539682,45.98514799,-112.539818,45.98526801,-112.539682,45.98526801,-112.539818
128,45.98514799,-112.539524,45.98514799,-112.53966,45.98526801,-112.539524,45.98526801,-112.53966
129,45.98514799,-112.539368,45.98514799,-112.539504,45.98526801,-112.539368,45.98526801,-112.539504
130,45.98514799,-112.539208,45.98514799,-112.539344,45.98526801,-112.539208,45.98526801,-112.539344
131,45.98527999,-112.540655,45.98527999,-112.540791,45.98540001,-112.540655,45.98540001,-112.540791
132,45.98527999,-112.540506,45.98527999,-112.540642,45.98540001,-112.540506,45.98540001,-112.540642
133,45.98527999,-112.540355,45.98527999,-112.540491,45.98540001,-112.540355,45.98540001,-112.540491
134,45.98527999,-112.540189,45.98527999,-112.540325,45.98540001,-112.540189,45.98540001,-112.540325
135,45.98527999,-112.540034,45.98527999,-112.54017,45.98540001,-112.540034,45.98540001,-112.54017
136,45.98527999,-112.53984,45.98527999,-112.539976,45.98540001,-112.53984,45.98540001,-112.539976
137,45.98527999,-112.539682,45.98527999,-112.539818,45.98540001,-112.539682,45.98540001,-112.539818
138,45.98527999,-112.539524,45.98527999,-112.53966,45.98540001,-112.539524,45.98540001,-112.53966
139,45.98527999,-112.539368,45.98527999,-112.539504,45.98540001,-112.539368,45.98540001,-112.539504
140,45.98527999,-112.539208,45.98527999,-112.539344,45.98540001,-112.539208,45.98540001,-112.539344
141,45.98542199,-112.540655,45.98542199,-112.540791,45.98554201,-112.540655,45.98554201,-112.540791
142,45.98542199,-112.540506,45.98542199,-112.540642,45.98554201,-112.540506,45.98554201,-112.540642
143,45.98542199,-112.540355,45.98542199,-112.540491,45.98554201,-112.540355,45.98554201,-112.540491
144,45.98542199,-112.540189,45.98542199,-112.540325,45.98554201,-112.540189,45.98554201,-112.540325
145,45.98542199,-112.540034,45.98542199,-112.54017,45.98554201,-112.540034,45.98554201,-112.54017
146,45.98542199,-112.53984,45.98542199,-112.539976,45.98554201,-112.53984,45.98554201,-112.539976
147,45.98542199,-112.539682,45.98542199,-112.539818,45.98554201,-112.539682,45.98554201,-112.539818
148,45.98542199,-112.539524,45.98542199,-112.53966,45.98554201,-112.539524,45.98554201,-112.53966
149,45.98542199,-112.539368,45.98542199,-112.539504,45.98554201,-112.539368,45.98554201,-112.539504
150,45.98542199,-112.539208,45.98542199,-112.539344,45.98554201,-112.539208,45.98554201,-112.539344
151,45.98555099,-112.540655,45.98555099,-112.540791,45.98567101,-112.540655,45.98567101,-112.540791
152,45.98555099,-112.540506,45.98555099,-112.540642,45.98567101,-112.540506,45.98567101,-112.540642
153,45.98555099,-112.540355,45.98555099,-112.540491,45.98567101,-112.540355,45.98567101,-112.540491
154,45.98555099,-112.540189,45.98555099,-112.540325,45.98567101,-112.540189,45.98567101,-112.540325
155,45.98555099,-112.540034,45.98555099,-112.54017,45.98567101,-112.540034,45.98567101,-112.54017
156,45.98555099,-112.53984,45.98555099,-112.539976,45.98567101,-112.53984,45.985665,-112.539972
157,45.98555099,-112.539682,45.98555099,-112.539818,45.98567101,-112.539682,45.98567101,-112.539818
158,45.98555099,-112.539524,45.98555099,-112.53966,45.98567101,-112.539524,45.98567101,-112.53966
159,45.98555099,-112.539368,45.98555099,-112.539504,45.98567101,-112.539368,45.98567101,-112.539504
160,45.98555099,-112.539208,45.98555099,-112.539344,45.98567101,-112.539208,45.98567101,-112.539344
161,45.98555099,-112.540858,45.98555099,-112.540994,45.98567101,-112.540858,45.98567101,-112.540994
162,45.98542199,-112.540858,45.98542199,-112.540994,45.98554201,-112.540858,45.98554201,-112.540994
163,45.98527999,-112.540858,45.98527999,-112.540994,45.98540001,-112.540858,45.98540001,-112.540994
164,45.98514799,-112.540858,45.98514799,-112.540994,45.98526801,-112.540858,45.98526801,-112.540994
165,45.98501099,-112.540858,45.98501099,-112.540994,45.98513101,-112.540858,45.98513101,-112.540994
166,45.98486399,-112.540858,45.98486399,-112.540994,45.98498401,-112.540858,45.98498401,-112.540994
167,45.98472999,-112.540858,45.98472999,-112.540994,45.98485001,-112.540858,45.98485001,-112.540994
168,45.98459399,-112.540858,45.98459399,-112.540994,45.98471401,-112.540858,45.98471401,-112.540994
169,45.98445399,-112.540858,45.98445399,-112.540994,45.98457401,-112.540858,45.98457401,-112.540994
170,45.98431899,-112.540858,45.98431899,-112.540994,45.98443901,-112.540858,45.98443901,-112.540994
171,45.98415199,-112.540858,45.98415199,-112.540994,45.98427201,-112.540858,45.98427201,-112.540994
